Episode,Time,StateHash,Action,Reward,OldQ,NewQ,Delta
3,1607.1,108,HideSpotCheck,-4.35,-3.457,-3.711,-0.2538
3,1607.6,108,HideSpotCheck,-4.40,-3.711,-3.905,-0.1942
3,1607.9,108,HideSpotCheck,-4.66,-3.905,-4.118,-0.2122
3,1608.2,108,HideSpotCheck,-4.91,-4.118,-4.342,-0.2247
3,1608.5,108,HideSpotCheck,10.00,-4.342,-0.038,4.3046
4,1608.5,108,HideSpotCheck,-0.26,-0.038,-0.040,-0.0018
4,1608.9,120,Patrol,1.20,0.397,0.661,0.2643
4,1609.2,120,Patrol,1.20,0.661,0.846,0.1846
4,1609.5,120,Patrol,1.20,0.846,0.974,0.1289
4,1609.8,120,Patrol,1.09,0.974,1.030,0.0560
4,1610.1,120,Patrol,-0.57,1.030,0.579,-0.4512
4,1655.3,90,Patrol,-1.10,0.016,-0.287,-0.3035
4,1655.6,144,HideSpotCheck,-0.50,1.078,0.923,-0.1550
4,1655.9,144,HideSpotCheck,-0.50,0.923,0.769,-0.1542
4,1656.2,144,HideSpotCheck,-0.50,0.769,0.615,-0.1533
4,1656.5,144,HideSpotCheck,-0.60,0.615,0.432,-0.1827
4,1656.8,144,HideSpotCheck,-0.70,0.432,0.220,-0.2120
4,1657.1,144,HideSpotCheck,-0.80,0.220,-0.021,-0.2410
4,1657.4,144,HideSpotCheck,-1.50,-0.021,-0.435,-0.4146
4,1658.9,144,SweepArea,-0.17,-0.054,-0.060,-0.0059
4,1660.4,144,SweepArea,-0.16,-0.060,-0.064,-0.0041
4,1661.8,144,SweepArea,-0.16,-0.064,-0.066,-0.0024
4,1663.3,144,SweepArea,-0.27,-0.066,-0.099,-0.0322
4,1687.1,144,SweepArea,-0.29,-0.099,-0.147,-0.0481
4,1710.3,144,SweepArea,-0.36,-0.147,-0.202,-0.0559
4,1716.8,144,SweepArea,0.14,-0.202,-0.081,0.1214
4,1717.1,144,SweepArea,10.00,-0.081,2.943,3.0244
5,1717.1,144,SweepArea,-0.42,2.943,1.971,-0.9724
5,1732.4,128,AmbushHotChoke,-0.50,0.171,0.239,0.0680
5,1740.0,144,SweepArea,-0.23,1.971,1.712,-0.2594
5,1769.6,144,Patrol,0.10,-0.447,-0.169,0.2780
5,1794.7,144,SweepArea,-0.74,1.712,1.120,-0.5919
5,1802.8,144,SweepArea,-0.07,1.120,0.984,-0.1359
5,1811.5,144,SweepArea,-0.24,0.984,0.806,-0.1782
5,1824.4,144,SweepArea,-0.23,0.806,0.621,-0.1849
5,1833.3,144,SweepArea,-0.29,0.621,0.466,-0.1543
5,1841.8,144,SweepArea,-0.54,0.466,0.256,-0.2104
5,1852.0,144,HideSpotCheck,0.30,-0.435,-0.168,0.2674
5,1861.4,144,SweepArea,-0.24,0.256,0.154,-0.1024
5,1871.4,144,HideSpotCheck,0.30,-0.168,0.001,0.1684
5,1880.7,144,SweepArea,-0.24,0.154,0.063,-0.0904
5,1890.3,144,SweepArea,-0.09,0.063,0.034,-0.0292
5,1900.2,144,HideSpotCheck,0.30,0.001,0.109,0.1083
5,1910.2,144,HideSpotCheck,0.15,0.109,0.141,0.0319
5,1920.1,144,HideSpotCheck,0.30,0.141,0.214,0.0734
5,1930.3,144,HideSpotCheck,0.20,0.214,0.248,0.0335
5,1940.0,144,HideSpotCheck,-0.05,0.248,0.205,-0.0432
5,1949.8,144,HideSpotCheck,0.00,0.205,0.154,-0.0508
5,1959.6,145,SweepArea,-0.25,-0.150,-0.170,-0.0200
5,1968.6,145,SweepArea,-0.09,-0.170,-0.136,0.0339
5,1977.5,145,SweepArea,-0.24,-0.136,-0.157,-0.0208
5,1984.2,145,HideSpotCheck,0.18,-0.175,-0.057,0.1182
5,1991.4,145,HideSpotCheck,0.38,-0.057,0.085,0.1415
5,2003.9,145,Patrol,0.93,-0.260,0.108,0.3676
6,2004.4,145,Patrol,-0.48,0.108,-0.054,-0.1617
6,2019.6,129,HeatSweep,-0.50,0.093,-0.065,-0.1573
6,2022.6,144,HideSpotCheck,0.22,0.154,0.213,0.0591
6,2024.8,144,HideSpotCheck,0.23,0.213,0.275,0.0619
6,2026.7,144,HideSpotCheck,0.23,0.275,0.336,0.0615
6,2028.7,144,HideSpotCheck,0.13,0.336,0.366,0.0293
6,2030.8,144,HideSpotCheck,0.03,0.366,0.363,-0.0030
6,2032.7,144,HideSpotCheck,-0.07,0.363,0.332,-0.0307
6,2034.7,144,HideSpotCheck,-0.77,0.332,0.091,-0.2409
6,2037.0,144,HideSpotCheck,-1.02,0.091,-0.217,-0.3077
6,2041.3,144,SweepArea,-0.19,0.034,-0.010,-0.0444
6,2045.2,144,SweepArea,-0.19,-0.010,-0.040,-0.0295
6,2048.8,144,SweepArea,-0.19,-0.040,-0.059,-0.0192
6,2052.4,144,SweepArea,-0.29,-0.059,-0.102,-0.0434
6,2055.9,144,SweepArea,-0.23,-0.102,-0.115,-0.0128
6,2060.1,144,SweepArea,-0.34,-0.115,-0.159,-0.0438
6,2064.0,144,SweepArea,-1.19,-0.159,-0.444,-0.2845
6,2068.1,144,SweepArea,-1.44,-0.444,-0.719,-0.2754
6,2070.0,144,HideSpotCheck,0.23,-0.217,-0.055,0.1613
6,2071.8,144,HideSpotCheck,0.23,-0.055,0.058,0.1133
6,2088.7,144,Patrol,1.00,-0.169,0.192,0.3619
6,2094.1,144,Patrol,-0.52,0.192,-0.002,-0.1941
6,2108.9,80,HeatSweep,0.00,0.192,0.149,-0.0430
6,2111.9,144,HideSpotCheck,0.22,0.058,0.132,0.0740
6,2113.8,144,HideSpotCheck,0.46,0.132,0.267,0.1351
6,2115.8,144,HideSpotCheck,0.23,0.267,0.328,0.0613
6,2117.6,144,HideSpotCheck,0.13,0.328,0.359,0.0304
6,2119.6,144,HideSpotCheck,0.03,0.359,0.358,-0.0012
6,2121.7,144,HideSpotCheck,-0.07,0.358,0.325,-0.0323
6,2123.6,144,HideSpotCheck,-0.77,0.325,0.086,-0.2396
6,2168.9,144,Patrol,-0.86,-0.002,-0.256,-0.2541
6,2174.8,116,AmbushHotChoke,-0.02,0.044,0.042,-0.0020
6,2178.2,116,AmbushHotChoke,-0.18,0.042,-0.005,-0.0472
6,2223.2,116,Patrol,-0.80,0.039,-0.210,-0.2488
6,2236.4,144,HideSpotCheck,0.29,0.086,0.162,0.0766
6,2245.4,144,HideSpotCheck,0.32,0.162,0.240,0.0780
6,2255.1,144,HideSpotCheck,0.15,0.240,0.258,0.0173
6,2264.9,144,HideSpotCheck,0.20,0.258,0.288,0.0306
6,2274.7,144,HideSpotCheck,0.10,0.288,0.248,-0.0402
6,2289.8,145,AmbushHotChoke,-0.37,-0.187,-0.231,-0.0439
6,2334.7,123,Patrol,-0.05,0.039,0.015,-0.0238
6,2339.1,145,HideSpotCheck,0.21,0.085,0.141,0.0565
6,2341.0,145,HideSpotCheck,0.23,0.141,0.207,0.0654
6,2342.9,145,HideSpotCheck,0.23,0.207,0.270,0.0639
6,2344.9,145,HideSpotCheck,0.13,0.270,0.302,0.0313
6,2389.9,145,Patrol,-0.95,-0.054,-0.320,-0.2663
6,2409.2,159,SweepArea,10.00,0.091,3.063,2.9728
7,2415.2,159,SweepArea,-0.60,3.063,1.984,-1.0795
7,2415.6,144,HideSpotCheck,-0.50,0.248,0.096,-0.1514
7,2415.9,144,HideSpotCheck,-0.50,0.096,-0.053,-0.1498
7,2417.2,144,SweepArea,-0.16,-0.719,-0.525,0.1943
7,2417.5,144,HideSpotCheck,-0.50,-0.053,-0.158,-0.1048
7,2417.8,144,HideSpotCheck,-0.50,-0.158,-0.231,-0.0733
7,2418.0,144,HideSpotCheck,-0.50,-0.231,-0.283,-0.0513
7,2463.1,144,Patrol,-0.95,-0.256,-0.461,-0.2054
7,2463.4,144,HideSpotCheck,-0.50,-0.283,-0.319,-0.0360
7,2463.7,144,HideSpotCheck,-0.50,-0.319,-0.344,-0.0252
7,2505.4,144,Patrol,0.10,-0.461,-0.290,0.1715
7,2518.2,108,HideSpotCheck,0.12,-0.040,0.023,0.0628
7,2533.4,108,HideSpotCheck,-0.63,0.023,-0.159,-0.1825
7,2547.8,108,SweepArea,-0.29,-0.065,-0.120,-0.0551
7,2563.5,108,SweepArea,-0.16,-0.120,-0.119,0.0017
7,2579.7,108,SweepArea,-0.31,-0.119,-0.164,-0.0450
7,2624.9,144,Patrol,-0.80,-0.290,-0.440,-0.1508
7,2628.5,144,HideSpotCheck,0.21,-0.344,-0.152,0.1919
7,2630.5,144,HideSpotCheck,0.23,-0.152,-0.011,0.1414
7,2632.5,144,HideSpotCheck,0.23,-0.011,0.088,0.0990
7,2634.3,144,HideSpotCheck,0.13,0.088,0.128,0.0399
7,2636.4,144,HideSpotCheck,0.03,0.128,0.133,0.0049
7,2638.2,144,HideSpotCheck,-0.07,0.133,0.109,-0.0241
7,2658.0,144,SweepArea,-0.15,-0.525,-0.400,0.1243
7,2658.4,144,HideSpotCheck,-0.50,0.109,-0.041,-0.1506
7,2658.6,144,HideSpotCheck,-0.50,-0.041,-0.150,-0.1084
7,2659.0,144,HideSpotCheck,-0.50,-0.150,-0.226,-0.0760
7,2659.4,144,HideSpotCheck,-0.60,-0.226,-0.309,-0.0832
7,2659.7,144,HideSpotCheck,-0.70,-0.309,-0.397,-0.0882
7,2704.9,144,Patrol,-0.95,-0.440,-0.591,-0.1505
7,2705.2,144,HideSpotCheck,-0.50,-0.397,-0.399,-0.0016
7,2705.5,144,HideSpotCheck,-0.50,-0.399,-0.400,-0.0012
7,2705.8,144,HideSpotCheck,-0.50,-0.400,-0.401,-0.0008
7,2713.0,144,SweepArea,0.09,-0.400,-0.234,0.1667
7,2719.6,144,SweepArea,-0.06,-0.234,-0.161,0.0723
7,2736.0,144,SweepArea,-0.01,-0.161,-0.104,0.0570
7,2744.5,144,SweepArea,-0.18,-0.104,-0.109,-0.0046
7,2759.0,144,SweepArea,-0.20,-0.109,-0.121,-0.0119
7,2803.9,144,Patrol,-0.13,-0.591,-0.451,0.1403
7,2807.9,144,HideSpotCheck,0.40,-0.401,-0.137,0.2641
7,2840.2,144,Patrol,0.86,-0.451,-0.055,0.3959
7,2842.4,144,Patrol,-0.80,-0.055,-0.274,-0.2190
8,2878.8,67,Patrol,0.04,0.095,0.082,-0.0130
8,2884.2,144,SweepArea,-0.20,-0.121,-0.124,-0.0026
8,2890.7,144,SweepArea,-0.22,-0.124,-0.130,-0.0063
8,2897.7,144,SweepArea,-0.22,-0.130,-0.136,-0.0060
8,2921.9,144,SweepArea,-0.16,-0.136,-0.134,0.0021
8,2938.4,144,SweepArea,-0.36,-0.134,-0.189,-0.0551
8,2983.5,144,Patrol,-0.80,-0.274,-0.429,-0.1553
8,2986.9,144,HideSpotCheck,0.22,-0.137,-0.006,0.1306
8,2988.9,144,HideSpotCheck,0.23,-0.006,0.092,0.0979
8,2993.5,144,SweepArea,-0.20,-0.189,-0.168,0.0210
8,2995.5,144,HideSpotCheck,0.23,0.092,0.160,0.0685
8,2997.5,144,HideSpotCheck,0.23,0.160,0.224,0.0640
8,2999.5,144,HideSpotCheck,0.23,0.224,0.287,0.0623
8,3044.7,144,Patrol,-0.72,-0.429,-0.512,-0.0834
8,3055.6,108,HideSpotCheck,0.14,-0.159,-0.053,0.1060
8,3070.9,108,HideSpotCheck,-0.63,-0.053,-0.213,-0.1598
8,3086.0,108,SweepArea,-0.30,-0.164,-0.165,-0.0017
8,3101.2,144,HideSpotCheck,-0.63,0.287,0.050,-0.2367
8,3116.4,144,HideSpotCheck,-0.65,0.050,-0.147,-0.1970
8,3131.6,144,HideSpotCheck,-0.63,-0.147,-0.280,-0.1326
8,3145.6,144,SweepArea,-0.29,-0.168,-0.190,-0.0222
