episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
174,-529993827,default,TRAIN,53536.61,53687.6,150.9883,CAPTURE,0,-1,0,0.1260417,3,0,0,0,0,0,0,0,76.00781,0,0,0,0,0,0,0,0,-1,0.4930578,1,1
175,-529993827,default,TRAIN,53688.72,53887.55,198.832,CAPTURE,0,-1,0,0.1254115,2,1,0,3,2,0,2,0,90.13672,5.171875,0,39,28.60547,0,6.628906,0,0,-1,1.430029,1,1
176,-529993827,default,TRAIN,53888.72,53931.04,42.31641,CAPTURE,0,-1,0,0.1247845,2,0,0,0,0,0,0,0,31.19141,0,0,0,0,0,0,0,0,-1,1.560294,1,1
177,-529993827,default,TRAIN,53932.27,54180.99,248.7148,CAPTURE,0,-1,0,0.1241606,5,0,0,1,0,0,0,0,160.3398,0,0,12.54688,0,0,0,0,0,-1,0.4876646,1,1
178,-529993827,default,TRAIN,54182.06,54839.33,657.2656,QUEST_COMPLETE,0,-1,0,0.1235397,15,0,0,2,0,3,1,0,550.7305,0,0,18.89063,0,37.875,8.992188,0,0,-1,0.5512447,1,1
179,-529993827,default,TRAIN,54840.41,55359.28,518.8711,QUEST_COMPLETE,0,-1,0,0.122922,11,0,0,2,0,7,1,0,400.6641,0,0,20.00391,0,76.11719,15.21094,0,0,-1,0.5890243,1,1
180,-529993827,default,TRAIN,55360.34,55803.7,443.3594,QUEST_COMPLETE,0,-1,0,0.1223074,9,0,0,2,1,1,6,0,331.0977,0,0,24.6875,0.3085938,13.06641,32.51172,0,0,-1,0.5222626,1,1
181,-529993827,default,TRAIN,55804.72,56265.02,460.3008,CAPTURE,0,-1,0,0.1216959,3,0,0,14,4,11,11,0,134.7539,0,0,119.8516,43.65234,91.58594,52.46484,0,0,-1,0.4995274,1,1
182,-529993827,default,TRAIN,56266.04,56500.43,234.3906,QUEST_COMPLETE,0,-1,0,0.1210874,4,0,0,4,4,0,1,0,159.9883,0,0,35,15.875,0,0,0,0,-1,0.7419151,1,1
183,-529993827,default,TRAIN,56501.54,56815.87,314.332,QUEST_COMPLETE,0,-1,0,0.120482,6,0,0,10,0,0,0,0,203.543,0,0,94.35547,0,0,0,0,0,-1,0.4330209,1,1
184,-529993827,default,TRAIN,56816.95,56950.5,133.5508,CAPTURE,0,-1,0,0.1198796,2,0,0,0,5,0,0,0,45.16797,0,0,0,41.30078,0,0,0,0,-1,0.3540657,1,1
185,-529993827,default,TRAIN,56951.72,57568.36,616.6367,QUEST_COMPLETE,0,-1,0,0.1192802,10,0,0,4,11,9,1,0,348.6953,0,0,82.10938,88.64063,30.66016,15.21875,0,0,-1,0.5660304,1,1
186,-529993827,default,TRAIN,57569.44,57648.09,78.64844,CAPTURE,0,-1,0,0.1186838,1,0,0,0,0,0,4,0,37.55859,0,0,0,0,0,14.16406,0,0,-1,2.081177,1,1
187,-529993827,default,TRAIN,57649.26,57776.38,127.1172,CAPTURE,0,-1,0,0.1180904,2,0,0,9,0,0,0,0,75.14063,0,0,39.96094,0,0,0,0,0,-1,1.310814,1,1
188,-529993827,default,TRAIN,57777.43,58403.54,626.1094,QUEST_COMPLETE,0,-1,0,0.1174999,8,0,0,13,14,4,21,0,246.7305,0,0,139.4805,27.38281,38.38672,138.1719,0,0,-1,0.5937384,1,1
189,-529993827,default,TRAIN,58404.66,58959.6,554.9453,CAPTURE,0,-1,0,0.1169124,4,1,0,15,18,4,7,0,163.5352,2.320313,0,127.6289,108.9727,57.44531,71.04688,0,0,-1,0.6107872,1,1
190,-529993827,default,TRAIN,58960.66,59427.84,467.1836,CAPTURE,0,-1,0,0.1163278,9,0,0,8,19,0,0,0,321.6641,0,0,50.58594,38.95703,0,0,0,0,-1,0.5815085,1,1
191,-529993827,default,TRAIN,59429.08,59568.73,139.6563,CAPTURE,0,-1,0,0.1157462,1,0,0,8,0,0,0,0,45.23438,0,0,87.45313,0,0,0,0,0,-1,1.263103,1,1
192,-529993827,default,TRAIN,59569.89,59731.77,161.8789,CAPTURE,0,-1,0,0.1151675,2,0,0,10,12,0,0,0,84.45313,0,0,53.17969,22.30469,0,0,0,0,-1,0.9122117,1,1
193,-529993827,default,TRAIN,59732.88,60061.84,328.957,CAPTURE,0,-1,0,0.1145916,1,0,0,6,17,2,6,0,28.83594,0,0,97.57813,155.6641,13.14844,25.17578,0,0,-1,0.7628198,1,1
194,-529993827,default,TRAIN,60063.13,60347.5,284.3711,QUEST_COMPLETE,0,-1,0,0.1140187,5,0,0,5,5,0,0,0,188.8945,0,0,68.92188,22.98828,0,0,0,0,-1,0.7118261,1,1
195,-529993827,default,TRAIN,60348.68,60431.96,83.28906,CAPTURE,0,-1,0,0.1134486,2,0,0,1,0,0,0,0,45.01953,0,0,14.46875,0,0,0,0,0,-1,0.6953421,1,1
196,-529993827,default,TRAIN,60433.22,60750.29,317.0664,CAPTURE,0,-1,0,0.1128813,7,0,0,3,0,0,0,0,223.2813,0,0,43.29297,0,0,0,0,0,-1,0.2843052,1,1
197,-529993827,default,TRAIN,60751.51,61326.93,575.418,CAPTURE,0,-1,0,0.1123169,7,0,0,19,0,3,11,0,282.957,0,0,172.4805,0,36.17578,64.56641,0,0,-1,0.585545,1,1
