Time,DecisionType,Winner,WinnerScore,CandidateCount,Top5Candidates
5323,3,Patrol,HUB,0,592,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R1(0,58)|
5368,6,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,59)|R7(0,58)|R4(0,58)|R2(0,58)|
5411,8,Patrol,HUB,0,595,10,HUB(0,59)|R5(0,58)|R7(0,58)|R1(0,58)|R2(0,58)|
5491,4,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
5493,9,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
5495,4,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
5496,9,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
5498,4,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
5499,7,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
5544,0,Patrol,R5,0,590,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
5596,3,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,59)|R7(0,58)|R4(0,58)|R2(0,58)|
5611,0,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5621,8,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
5623,1,Patrol,C1,0,588,10,C1(0,59)|HUB(0,58)|R1(0,58)|R7(0,58)|R2(0,58)|
5643,5,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5659,5,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5675,7,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R3(0,58)|R5(0,58)|
5707,5,Patrol,HUB,0,593,10,HUB(0,59)|R1(0,58)|R5(0,58)|C1(0,58)|R7(0,58)|
5721,8,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5738,5,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5754,9,Patrol,HUB,0,589,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5771,1,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
5786,9,Patrol,HUB,0,590,10,HUB(0,59)|R1(0,59)|C1(0,58)|R5(0,58)|R3(0,58)|
